code	name	color	material	variantId	imageUrl	productUrl
53101	TPU for AMS	Black	TPU	U02-K0	https://store.bblcdn.eu/s8/default/5b848554718b444faa29355ce6f54264/d4fb1dd751904e1ea09d142c68d7ec36.jpg	https://eu.store.bambulab.com/products/tpu-for-ams
53102	TPU for AMS	Gray	TPU	U02-D0	https://store.bblcdn.eu/s8/default/5b848554718b444faa29355ce6f54264/d4fb1dd751904e1ea09d142c68d7ec36.jpg	https://eu.store.bambulab.com/products/tpu-for-ams
53200	TPU for AMS	Red	TPU		https://store.bblcdn.eu/s8/default/5b848554718b444faa29355ce6f54264/d4fb1dd751904e1ea09d142c68d7ec36.jpg	https://eu.store.bambulab.com/products/tpu-for-ams
53400	TPU for AMS	Yellow	TPU		https://store.bblcdn.eu/s8/default/5b848554718b444faa29355ce6f54264/d4fb1dd751904e1ea09d142c68d7ec36.jpg	https://eu.store.bambulab.com/products/tpu-for-ams
53500	TPU for AMS	Neon Green	TPU		https://store.bblcdn.eu/s8/default/5b848554718b444faa29355ce6f54264/d4fb1dd751904e1ea09d142c68d7ec36.jpg	https://eu.store.bambulab.com/products/tpu-for-ams
53600	TPU for AMS	Blue	TPU	U02-B0	https://store.bblcdn.eu/s8/default/5b848554718b444faa29355ce6f54264/d4fb1dd751904e1ea09d142c68d7ec36.jpg	https://eu.store.bambulab.com/products/tpu-for-ams
60100	PC	White	PC	C00-W0		
60101	PC	Black	PC	C00-K0		
60102	PC	Clear Black	PC	C00-C0		
60103	PC	Transparent	PC	C00-C1		
63100	PC FR	Black	PC FR	C01-K0		
63101	PC FR	White	PC FR	C01-W0		
63102	PC FR	Gray	PC FR	C01-D0		
65102	Support for PLA/PETG	Nature	Support for PLA/PETG	S02-W0 (Old: S00-W0)		
65103	Support for PLA/PETG	Black	Support for PLA/PETG	S05-C0		
65104	Support for PLA (New Version)	White	Support for PLA (New Version)	S02-W1		
65500	Support for PA/PET	Green	Support for PA/PET	S03-G1		
66100	Support for ABS	White	Support for ABS	S06-W0		
66400	PVA	Clear	PVA	S04-Y0		
70100	PAHT-CF	Black	PAHT	N04-K0	https://store.bblcdn.eu/s8/default/1adca385b4fd4502b492ed2651908f51/PAHTCFORIGINAL.png	https://eu.store.bambulab.com/products/paht-cf
71100	PET-CF	Black	PET-CF		https://store.bblcdn.eu/s8/default/c69a75229e824ec2a92b2e37f8510b01/pet-cr.png	https://eu.store.bambulab.com/products/pet-cf
72100	PA6-CF	Black	PA6-CF		https://store.bblcdn.eu/s8/default/a73fe23577b84ea58c333a714eae4cad/PA6-CF.png	https://eu.store.bambulab.com/products/pa6-cf
72102	PA6-GF	White	PA6-GF		https://store.bblcdn.eu/s8/default/206b1f9df0a64848becdf721b2541936/JP35952.jpg	https://eu.store.bambulab.com/products/pa6-gf
72103	PA6-GF	Gray	PA6-GF		https://store.bblcdn.eu/s8/default/206b1f9df0a64848becdf721b2541936/JP35952.jpg	https://eu.store.bambulab.com/products/pa6-gf
